2020-05-14 14:43:52,056 - [excel.py-->line:49] - ERROR: 表单名register_succes不正确
2020-05-14 14:45:32,065 - [excel.py-->line:52] - INFO: 成功打开excl文件D:\PycharmProjects\weixin\data\interfaceCase.xlsx,表单register_success
2020-05-14 16:11:50,978 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-14 16:11:51,352 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-14 16:11:51,723 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-14 16:11:52,111 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-14 16:13:46,719 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-14 16:13:47,083 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-14 16:13:47,449 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-14 16:13:47,803 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-14 16:15:03,760 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-14 16:15:04,129 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-14 16:15:04,498 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-14 16:15:04,872 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-14 16:17:52,731 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-14 16:17:53,107 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-14 16:17:53,459 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-14 16:17:53,816 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-14 16:20:51,092 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-14 16:20:55,533 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-14 16:21:00,064 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-14 16:32:01,036 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-14 16:32:05,553 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-14 16:32:10,012 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-14 16:32:14,480 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 09:32:06,911 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-15 09:32:07,369 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 09:32:07,772 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 09:32:08,190 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 09:33:59,530 - [test_demo1.py-->line:73] - INFO: 用例注册成功,测试通过
2020-05-15 09:33:59,880 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 09:34:00,231 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 09:34:00,588 - [test_demo1.py-->line:73] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 09:35:48,999 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 09:35:49,366 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 09:35:49,723 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 09:35:50,089 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 09:36:46,834 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 09:36:47,192 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 09:36:47,577 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 09:36:47,955 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 09:38:25,965 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 09:38:26,337 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 09:38:26,695 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 09:38:27,050 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 16:38:19,784 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 16:38:20,144 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 16:38:20,497 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 16:38:20,845 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 16:39:26,896 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 16:39:27,294 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 16:39:27,684 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 16:39:28,080 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 16:40:49,955 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 16:40:50,336 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 16:40:50,702 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 16:40:51,055 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 16:41:17,182 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 16:41:17,537 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 16:41:17,920 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 16:41:18,492 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
